barangay_id,university_id,barangay_name,university_name,distance_km,commute_time_mins
13,14,Don Benito,University of Pangasinan - PHINMA,24.34,39.2
13,15,Don Benito,University of the Philippines - Diliman,204.6,172.8
13,16,Don Benito,University of the Philippines - Manila,206.23,176.4
13,17,Don Benito,Univeristy of the Philippines - Open University,204.03,171.3
13,18,Don Benito,Polytechnic University of the Philippines - Manila,205.12,172.7
13,19,Don Benito,Lyceum-Northwestern University,26.27,43.4
13,20,Don Benito,Pangasinan Polytechnic College,41.55,65.6
14,1,Haway,University of Eastern Pangasinan,16.51,24.7
14,2,Haway,Urdaneta City University,24.9,31.3
14,3,Haway,Pangasinan State University - Urdaneta City,22.54,28.7
14,4,Haway,Pangasinan State University - Asingan,30.89,38.6
14,5,Haway,DMMMSU – South La Union Campus (SLUC),40.68,52.3
14,6,Haway,DMMMSU – Mid La Union Campus (MLUC),72.46,96.5
14,7,Haway,Benguet State University - La Trinidad,74.21,105.9
14,8,Haway,Central Luzon State University,93.41,95.3
14,9,Haway,Tarlac State University - Tarlac,83.1,79.5
14,10,Haway,Pangasinan State University - Lingayen,36.42,59.3
14,11,Haway,Pangasinan State University - Bayambang,43.55,61.4
14,12,Haway,Saint Louis University - Baguio,69.91,97.7
14,13,Haway,University of the Philippines - Baguio,50.61,65.5
14,14,Haway,University of Pangasinan - PHINMA,19.47,33.1
14,15,Haway,University of the Philippines - Diliman,203.68,177.6
14,16,Haway,University of the Philippines - Manila,205.31,181.2
14,17,Haway,Univeristy of the Philippines - Open University,203.11,176.1
14,18,Haway,Polytechnic University of the Philippines - Manila,204.2,177.5
14,19,Haway,Lyceum-Northwestern University,21.39,37.3
14,20,Haway,Pangasinan Polytechnic College,36.68,59.6
15,1,Imbalbalatong,University of Eastern Pangasinan,9.62,11.5
15,2,Imbalbalatong,Urdaneta City University,18.99,19.3
15,3,Imbalbalatong,Pangasinan State University - Urdaneta City,16.63,16.7
15,4,Imbalbalatong,Pangasinan State University - Asingan,24.97,26.6
15,5,Imbalbalatong,DMMMSU – South La Union Campus (SLUC),36.54,43.8
15,6,Imbalbalatong,DMMMSU – Mid La Union Campus (MLUC),68.32,87.9
15,7,Imbalbalatong,Benguet State University - La Trinidad,70.07,97.3
15,8,Imbalbalatong,Central Luzon State University,89.17,84.9
15,9,Imbalbalatong,Tarlac State University - Tarlac,78.86,69.1
15,10,Imbalbalatong,Pangasinan State University - Lingayen,59.4,69.7
15,11,Imbalbalatong,Pangasinan State University - Bayambang,48.05,59.1
15,12,Imbalbalatong,Saint Louis University - Baguio,65.77,89.1
15,13,Imbalbalatong,University of the Philippines - Baguio,46.47,57.0
15,14,Imbalbalatong,University of Pangasinan - PHINMA,26.14,43.9
15,15,Imbalbalatong,University of the Philippines - Diliman,199.45,167.2
15,16,Imbalbalatong,University of the Philippines - Manila,201.07,170.8
15,17,Imbalbalatong,Univeristy of the Philippines - Open University,198.87,165.8
15,18,Imbalbalatong,Polytechnic University of the Philippines - Manila,199.97,167.1
15,19,Imbalbalatong,Lyceum-Northwestern University,28.06,48.1
15,20,Imbalbalatong,Pangasinan Polytechnic College,59.66,69.9
16,1,Inoman,University of Eastern Pangasinan,13.86,17.6
16,2,Inoman,Urdaneta City University,24.24,24.6
16,3,Inoman,Pangasinan State University - Urdaneta City,21.88,22.0
16,4,Inoman,Pangasinan State University - Asingan,30.23,31.9
16,5,Inoman,DMMMSU – South La Union Campus (SLUC),35.43,44.0
16,6,Inoman,DMMMSU – Mid La Union Campus (MLUC),67.22,88.1
16,7,Inoman,Benguet State University - La Trinidad,68.97,97.5
16,8,Inoman,Central Luzon State University,92.94,87.4
16,9,Inoman,Tarlac State University - Tarlac,82.62,71.6
16,10,Inoman,Pangasinan State University - Lingayen,45.6,72.1
16,11,Inoman,Pangasinan State University - Bayambang,53.3,64.4
16,12,Inoman,Saint Louis University - Baguio,64.67,89.3
16,13,Inoman,University of the Philippines - Baguio,45.36,57.2
16,14,Inoman,University of Pangasinan - PHINMA,28.65,45.9
16,15,Inoman,University of the Philippines - Diliman,203.21,169.7
16,16,Inoman,University of the Philippines - Manila,204.84,173.3
16,17,Inoman,Univeristy of the Philippines - Open University,202.64,168.3
16,18,Inoman,Polytechnic University of the Philippines - Manila,203.73,169.6
16,19,Inoman,Lyceum-Northwestern University,30.58,50.1
16,20,Inoman,Pangasinan Polytechnic College,45.86,72.3
17,1,Laoac,University of Eastern Pangasinan,14.1,17.6
17,2,Laoac,Urdaneta City University,23.49,23.7
17,3,Laoac,Pangasinan State University - Urdaneta City,21.13,21.1
17,4,Laoac,Pangasinan State University - Asingan,29.48,31.0
17,5,Laoac,DMMMSU – South La Union Campus (SLUC),33.27,41.9
17,6,Laoac,DMMMSU – Mid La Union Campus (MLUC),65.05,86.1
17,7,Laoac,Benguet State University - La Trinidad,68.22,96.7
17,8,Laoac,Central Luzon State University,92.19,86.5
17,9,Laoac,Tarlac State University - Tarlac,81.88,70.7
17,10,Laoac,Pangasinan State University - Lingayen,42.81,69.1
17,11,Laoac,Pangasinan State University - Bayambang,52.55,63.5
17,12,Laoac,Saint Louis University - Baguio,63.92,88.4
17,13,Laoac,University of the Philippines - Baguio,43.19,55.1
17,14,Laoac,University of Pangasinan - PHINMA,25.86,42.9
17,15,Laoac,University of the Philippines - Diliman,202.47,168.8
17,16,Laoac,University of the Philippines - Manila,204.09,172.4
17,17,Laoac,Univeristy of the Philippines - Open University,201.89,167.4
17,18,Laoac,Polytechnic University of the Philippines - Manila,202.99,168.7
17,19,Laoac,Lyceum-Northwestern University,27.79,47.1
17,20,Laoac,Pangasinan Polytechnic College,43.07,69.3
18,1,Maambal,University of Eastern Pangasinan,15.24,21.0
18,2,Maambal,Urdaneta City University,23.62,27.6
18,3,Maambal,Pangasinan State University - Urdaneta City,21.26,25.0
18,4,Maambal,Pangasinan State University - Asingan,29.61,34.8
18,5,Maambal,DMMMSU – South La Union Campus (SLUC),41.44,53.5
18,6,Maambal,DMMMSU – Mid La Union Campus (MLUC),73.22,97.7
18,7,Maambal,Benguet State University - La Trinidad,75.91,109.0
18,8,Maambal,Central Luzon State University,92.13,91.5
18,9,Maambal,Tarlac State University - Tarlac,81.82,75.7
18,10,Maambal,Pangasinan State University - Lingayen,34.52,54.7
18,11,Maambal,Pangasinan State University - Bayambang,41.65,56.8
18,12,Maambal,Saint Louis University - Baguio,71.61,100.7
18,13,Maambal,University of the Philippines - Baguio,51.36,66.7
18,14,Maambal,University of Pangasinan - PHINMA,17.57,28.5
18,15,Maambal,University of the Philippines - Diliman,202.4,173.9
18,16,Maambal,University of the Philippines - Manila,204.03,177.5
18,17,Maambal,Univeristy of the Philippines - Open University,201.83,172.4
18,18,Maambal,Polytechnic University of the Philippines - Manila,202.92,173.8
18,19,Maambal,Lyceum-Northwestern University,19.49,32.7
18,20,Maambal,Pangasinan Polytechnic College,34.78,54.9
19,1,Malasin,University of Eastern Pangasinan,12.38,16.6
19,2,Malasin,Urdaneta City University,21.78,23.8
19,3,Malasin,Pangasinan State University - Urdaneta City,19.42,21.2
19,4,Malasin,Pangasinan State University - Asingan,27.77,31.1
19,5,Malasin,DMMMSU – South La Union Campus (SLUC),38.57,48.2
19,6,Malasin,DMMMSU – Mid La Union Campus (MLUC),70.36,92.4
19,7,Malasin,Benguet State University - La Trinidad,72.1,101.8
19,8,Malasin,Central Luzon State University,90.29,87.8
19,9,Malasin,Tarlac State University - Tarlac,79.97,72.0
19,10,Malasin,Pangasinan State University - Lingayen,38.31,61.7
19,11,Malasin,Pangasinan State University - Bayambang,50.84,63.6
19,12,Malasin,Saint Louis University - Baguio,67.81,93.6
19,13,Malasin,University of the Philippines - Baguio,48.5,61.4
19,14,Malasin,University of Pangasinan - PHINMA,21.36,35.5
19,15,Malasin,University of the Philippines - Diliman,200.56,170.1
19,16,Malasin,University of the Philippines - Manila,202.19,173.7
19,17,Malasin,Univeristy of the Philippines - Open University,199.99,168.7
19,18,Malasin,Polytechnic University of the Philippines - Manila,201.08,170.0
19,19,Malasin,Lyceum-Northwestern University,23.29,39.7
19,20,Malasin,Pangasinan Polytechnic College,38.57,61.9
20,1,Malokiat,University of Eastern Pangasinan,15.71,19.6
20,2,Malokiat,Urdaneta City University,25.98,26.7
20,3,Malokiat,Pangasinan State University - Urdaneta City,23.62,24.1
20,4,Malokiat,Pangasinan State University - Asingan,31.97,34.0
20,5,Malokiat,DMMMSU – South La Union Campus (SLUC),37.18,46.0
20,6,Malokiat,DMMMSU – Mid La Union Campus (MLUC),68.96,90.2
20,7,Malokiat,Benguet State University - La Trinidad,70.71,99.6
20,8,Malokiat,Central Luzon State University,94.68,89.5
20,9,Malokiat,Tarlac State University - Tarlac,84.37,73.7
20,10,Malokiat,Pangasinan State University - Lingayen,39.86,62.7
20,11,Malokiat,Pangasinan State University - Bayambang,46.99,64.8
20,12,Malokiat,Saint Louis University - Baguio,66.41,91.4
20,13,Malokiat,University of the Philippines - Baguio,47.11,59.3
20,14,Malokiat,University of Pangasinan - PHINMA,22.91,36.5
